URL,company_name,sector,subsector,founded_year,hq_country,hq_state,hq_city,is_usa,n_investors,total_funding_usd
https://forgeglobal.com/manychat_stock/,Manychat,Enterprise Software,Communication & Collaboration Software,2015,United States,CA,West Hollywood,True,4,163314985.24
https://forgeglobal.com/manypets_stock/,ManyPets,Fintech,Insurance,2012,United Kingdom,,London,False,6,
https://forgeglobal.com/mapbox_stock/,MapBox,Enterprise Software,Software Development,2011,United States,DC,Washington,True,9,639380000.0
https://forgeglobal.com/maplight-therapeutics_stock/,MapLight Therapeutics,Healthcare,Biotech & Pharma,2018,United States,MA,Burlington,True,0,511000000.0
https://forgeglobal.com/mapr-technologies_stock/,MapR Technologies,Enterprise Software,Data Intelligence,2009,United States,CA,Santa Clara,True,5,261460000.0
https://forgeglobal.com/marea_stock/,Marea,Healthcare,Biotech & Pharma,2022,United States,CA,San Francisco,True,0,190000000.0
https://forgeglobal.com/marginedge_stock/,MarginEdge,Enterprise Software,Business Operations,2015,United States,VA,Arlington,True,3,
https://forgeglobal.com/mariana-oncology_stock/,Mariana Oncology,Healthcare,Biotech & Pharma,2021,United States,MA,Watertown,True,0,250000000.0
https://forgeglobal.com/marine-layer_stock/,Marine Layer,Consumer & Lifestyle,"Clothing, Fashion, Beauty & Apparel",2009,United States,CA,San Francisco,True,1,
https://forgeglobal.com/mark-cuban-cost-plus-drug-company_stock/,Mark Cuban Cost Plus Drug Company,Healthcare,Healthcare Providers & Services,2016,United States,TX,Dallas,True,3,
https://forgeglobal.com/mark43_stock/,Mark43,Industrial,Industrial Software,2012,United States,NY,New York,True,7,369610000.0
https://forgeglobal.com/marketing-evolution_stock/,Marketing Evolution,Enterprise Software,Sales & Marketing /​ Adtech,2000,United States,NY,New York,True,0,
https://forgeglobal.com/marklogic_stock/,MarkLogic,Enterprise Software,Data Management /​ Storage,2001,United States,CA,Redwood City,True,3,187490000.0
https://forgeglobal.com/marqeta_stock/,Marqeta,Fintech,Payments,2010,United States,CA,Oakland,True,5,378770000.0
https://forgeglobal.com/marqvision_stock/,MarqVision,Enterprise Software,Business Operations,2020,United States,CA,Los Angeles,True,0,89099992.98
https://forgeglobal.com/marshmallow_stock/,Marshmallow,Fintech,Insurance,2017,United Kingdom,,London,False,6,
https://forgeglobal.com/martian_stock/,Martian,Enterprise Software,Software Development,2022,United States,CA,San Francisco,True,5,
https://forgeglobal.com/mashgin_stock/,Mashgin,Technology Hardware,Other Technology Hardware,2013,United States,CA,Palo Alto,True,17,73791062.0
https://forgeglobal.com/masterclass_stock/,MasterClass,Education,E-Learning,2012,United States,CA,San Francisco,True,8,462269999.71
https://forgeglobal.com/mastercontrol_stock/,MasterControl,Industrial,Industrial Software,1993,United States,UT,Salt Lake City,True,2,150000000.0
https://forgeglobal.com/masterworks_stock/,Masterworks,Fintech,Capital Markets,2017,United States,NY,New York,True,3,
https://forgeglobal.com/material-bank_stock/,Material Bank,Consumer & Lifestyle,E-commerce,2018,China,,Shenzhen,False,0,327310000.0
https://forgeglobal.com/material-security_stock/,Material Security,Enterprise Software,Cybersecurity,2017,United States,CA,Redwood City,True,0,180310000.0
https://forgeglobal.com/materialize_stock/,Materialize,Enterprise Software,Software Development,2019,United States,NY,New York,True,6,100700000.0
https://forgeglobal.com/matic-insurance_stock/,Matic Insurance,Fintech,Insurance,2014,United States,OH,Columbus,True,20,
https://forgeglobal.com/matic_stock/,Matic,Industrial,Robotics,2018,United States,CA,Mountain View,True,6,106580000.0
https://forgeglobal.com/matillion_stock/,Matillion,Enterprise Software,Data Management /​ Storage,2011,United Kingdom,,Salford,False,12,
https://forgeglobal.com/matter-labs_stock/,Matter Labs,Enterprise Software,Business Operations,2018,France,,Paris,False,5,
https://forgeglobal.com/mattermost_stock/,Mattermost,Enterprise Software,Communication & Collaboration Software,2015,United States,CA,Palo Alto,True,0,73530913.24
https://forgeglobal.com/matterport_stock/,Matterport,Industrial,Augmented /​ Virtual Reality,2011,United States,CA,Sunnyvale,True,0,144160000.0
https://forgeglobal.com/matx_stock/,MatX,Technology Hardware,Computing Hardware,2023,United States,CA,Mountain View,True,0,619898423.98
https://forgeglobal.com/maven_stock/,Maven,Healthcare,Digital Health,2014,United States,NY,New York,True,8,424320000.0
https://forgeglobal.com/mavenlink_stock/,Mavenlink,Enterprise Software,Other Enterprise Software,2008,United States,CA,Irvine,True,0,
https://forgeglobal.com/maverick-therapeutics_stock/,Maverick Therapeutics,Healthcare,Biotech & Pharma,2016,United States,CA,Brisbane,True,0,
https://forgeglobal.com/maxwell_stock/,Maxwell,Fintech,Fintech Software,2015,United States,CO,Denver,True,0,192729826.06
https://forgeglobal.com/may-mobility_stock/,May Mobility,Transportation,Autonomous Vehicles,2017,United States,MI,Ann Arbor,True,23,306998014.93
https://forgeglobal.com/maybell_stock/,Maybell,Technology Hardware,Other Technology Hardware,2020,United States,CO,Denver,True,0,74729999.84
https://forgeglobal.com/maybern_stock/,Maybern,Fintech,Fintech Software,2020,United States,NY,New York,True,0,76439998.2
https://forgeglobal.com/maze-therapeutics_stock/,Maze Therapeutics,Healthcare,Healthcare Software,2018,United States,CA,South San Francisco,True,1,503780000.0
https://forgeglobal.com/mbrace-therapeutics_stock/,MBRace Therapeutics,Healthcare,Biotech & Pharma,2020,United States,CA,San Diego,True,5,
