URL,Company,Headquarters,Sector,Subsector,Founded,Total Funding,Investors
https://forgeglobal.com/isarna-therapeutics_stock/,Invest and Sell Isarna Therapeutics Stock - Forge,"Munich, Germany",Healthcare,Biotech & Pharma,1998,,NA
https://forgeglobal.com/island_stock/,Invest and Sell Island Stock - Forge,"Dallas, TX, United States",Enterprise Software,Cybersecurity,2020,,"Insight Partners, Cyberstarts, Prysm Capital, Sequoia Capital, Cerca Partners, Stripes, Cisco Investments, Canapi Ventures, Georgian"
https://forgeglobal.com/isn_stock/,Invest and Sell ISN Stock - Forge,"Dallas, TX, United States",Industrial,Industrial Software,2000,NA,NA
https://forgeglobal.com/isomorphic-labs_stock/,Invest and Sell Isomorphic Labs Stock - Forge,"London, United Kingdom",Healthcare,Biotech & Pharma,2021,,NA
https://forgeglobal.com/isoplexis_stock/,Access IsoPlexis Stock and Financial Details - Forge,"Branford, CT, United States",Healthcare,Biotech & Pharma,2013,,NA
https://forgeglobal.com/isovalent_stock/,Access Isovalent Stock and Financial Details - Forge,"Milpitas, CA, United States",Enterprise Software,Cybersecurity,2016,,NA
https://forgeglobal.com/ispot-tv_stock/,Invest and Sell iSpot.tv Stock - Forge,"Bellevue, WA, United States",Enterprise Software,Sales & Marketing /​ Adtech,2007,,"Goldman Sachs Asset Management, Insight Partners, Madrona Venture Group, Peak Opportunity Partners"
https://forgeglobal.com/issuu_stock/,Invest and Sell Issuu Stock - Forge,"Palo Alto, CA, United States",Consumer & Lifestyle,Consumer Applications,2006,,NA
https://forgeglobal.com/iterable_stock/,Invest and Sell Iterable Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Sales & Marketing /​ Adtech,2013,,"Adams Street Partners, Blue Cloud Ventures, Brighter Capital, Viking Global Investors, Silver Lake, Afore Capital, Crv, 500 Global, Capital One Ventures, Share Capital, 645 Ventures"
https://forgeglobal.com/iterative-health_stock/,Invest and Sell Iterative Health Stock - Forge,"Cambridge, MA, United States",Healthcare,Healthcare Software,2017,,NA
https://forgeglobal.com/iterative_stock/,Invest and Sell DVC Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Productivity,2017,,"Essence Venture Capital, Afore Capital, 468 Capital, True Ventures, Locus Ventures"
https://forgeglobal.com/itrustcapital_stock/,Invest and Sell iTrustCapital Stock - Forge,"Irvine, CA, United States",Fintech,Capital Markets,2018,,"Left Lane Capital, Pelion Venture Partners"
https://forgeglobal.com/ivalua_stock/,Invest and Sell Ivalua Stock - Forge,"Redwood City, CA, United States",Enterprise Software,Business Operations,2009,NA,"Tiger Global Managament, Kohlberg Kravis Roberts"
https://forgeglobal.com/ivantis_stock/,Invest and Sell Ivantis Stock - Forge,"Irvine, CA, United States",Healthcare,Other Healthcare,2007,,NA
https://forgeglobal.com/ivenix_stock/,Invest and Sell Ivenix Stock - Forge,"North Andover, MA, United States",Healthcare,Biotech & Pharma,2007,,NA
https://forgeglobal.com/ivo_stock/,Invest and Sell Ivo Stock - Forge,"San Francisco, CA, United States",Enterprise Software,Business Operations,2012,,NA
https://forgeglobal.com/izettle_stock/,Invest and Sell iZettle Stock - Forge,"Stockholm, Sweden",Fintech,Other Fintech,2010,,"Intel Capital, American Express Ventures, Index Ventures, Mci Capital, Creandum, Mastercard, Northzone Ventures, Santander Innoventures, 83north, Dawn Capital"
https://forgeglobal.com/j-hilburn_stock/,Invest and Sell J Hilburn Stock - Forge,"Dallas, TX, United States",Consumer & Lifestyle,"Clothing, Fashion, Beauty & Apparel",2007,,Battery Ventures
https://forgeglobal.com/jaanuu_stock/,Invest and Sell Jaanuu Stock - Forge,"San Bernardino, CA, United States",Consumer & Lifestyle,"Clothing, Fashion, Beauty & Apparel",2013,,NA
https://forgeglobal.com/jace_stock/,Invest and Sell Jace Stock - Forge,"San Ramon, CA, United States",Fintech,Fintech Software,2023,,NA
https://forgeglobal.com/jackpocket_stock/,Access Jackpocket Stock and Financial Details - Forge,"New York, NY, United States",Consumer & Lifestyle,Entertainment,2013,,"Interplay Ventures, Bullpen Capital, Bluerun Ventures, M13, Kima Ventures, Dcm Ventures"
https://forgeglobal.com/jada-ai_stock/,Invest and Sell Jada AI Stock - Forge,"Wilmington, DE, United States",Enterprise Software,Data Intelligence,2021,NA,NA
https://forgeglobal.com/jam-city_stock/,Invest and Sell Jam City Stock - Forge,"Culver City, CA, United States",Consumer & Lifestyle,Gaming,2009,,"Netmarble Games, Quiet Capital, Kabam, Fortress Investment Group, Austin Ventures, Cinco Capital, Columbia Capital"
https://forgeglobal.com/jamcracker_stock/,Invest and Sell Jamcracker Stock - Forge,"Santa Clara, CA, United States",Enterprise Software,Cloud /​ Networking Infrastructure,2000,,NA
https://forgeglobal.com/jane-technologies_stock/,Invest and Sell Jane Technologies Stock - Forge,"Santa Cruz, CA, United States",Consumer & Lifestyle,Cannabis & Tobacco,2014,,NA
https://forgeglobal.com/jask_stock/,Invest and Sell Jask Stock - Forge,"Austin, TX, United States",Enterprise Software,Cybersecurity,2016,,NA
https://forgeglobal.com/jasper-ai_stock/,Invest and Sell Jasper AI Stock - Forge,"Rollingwood, TX, United States",Enterprise Software,Productivity,2021,,"Insight Partners, Ivp, Bessemer Venture Partners, Founders Circle Capital, Foundation Capital, Hubspot Ventures"
https://forgeglobal.com/jaunt_stock/,Access Jaunt Stock and Financial Details - Forge,"San Mateo, CA, United States",Industrial,Augmented /​ Virtual Reality,2013,,"Evolution Media Capital, Sevenventures, Participant Media, Cmc Capital Partners, Frontier Tech Ventures, Redpoint Ventures, Highland Capital Partners, Disney Accelerator"
https://forgeglobal.com/jd-digits_stock/,Invest and Sell JD Digits Stock - Forge,"Beijing, China",Fintech,Other Fintech,2012,,NA
https://forgeglobal.com/jeeves_stock/,Invest and Sell Jeeves Stock - Forge,"Orlando, FL, United States",Enterprise Software,Business Operations,2019,,"Andreessen Horowitz, Gic, Tencent, Gaingels, Crv, Silicon Valley Bank, Clocktower Technology Ventures"
https://forgeglobal.com/jellyfish_stock/,Invest and Sell Jellyfish Stock - Forge,"Boston, MA, United States",Industrial,Industrial Software,2016,,NA
https://forgeglobal.com/jellysmack_stock/,Invest and Sell Jellysmack Stock - Forge,"New York, NY, United States",Consumer & Lifestyle,Media,2016,,NA
https://forgeglobal.com/jerry_stock/,Invest and Sell Jerry Stock - Forge,"Palo Alto, CA, United States",Fintech,Insurance,2017,,"Triplepoint Venture Growth, Newdo Venture, Bragiel Brothers, Oriza Ventures, Ftv Capital, Aurum Venture Partners, Fundersclub, Liquid 2 Ventures, Abaco, Goodwater Capital, Highland Capital Partners, Park West Asset Management, Y Combinator, Kamerra, Bow Capital, Plug & Play Tech Center, Brandhaus Capital Partners, Zillionize"
https://forgeglobal.com/jet-hospitality_stock/,Invest and Sell Jet Hospitality Stock - Forge,"Seattle, WA, United States",Consumer & Lifestyle,Travel & Hospitality,2017,,NA
https://forgeglobal.com/jet-token_stock/,Access Jet Token Stock and Financial Details - Forge,"Las Vegas, NV, United States",Transportation,Other Transportation,2018,,NA
https://forgeglobal.com/jetsmarter_stock/,Access JetSmarter Stock and Financial Details - Forge,"Fort Lauderdale, FL, United States",Industrial,Aerospace & Defense,2012,,"Kz Capital, Noor Capital Holding, Shawn (Jay-Z) Carter, Saudi Royal Family, Xojet"
https://forgeglobal.com/jetsuite_stock/,Access JetSuite Stock and Financial Details - Forge,"Dallas, TX, United States",Industrial,Aerospace & Defense,2010,,NA
https://forgeglobal.com/jetti-resources_stock/,Invest and Sell Jetti Resources Stock - Forge,"Boulder, CO, United States",Energy,Clean Energy,2014,NA,NA
https://forgeglobal.com/jetty_stock/,Access Jetty Stock and Financial Details - Forge,"New York, NY, United States",Real Estate,Real Estate Software,2015,,"Interplay Ventures, Boxgroup, 9yards Capital, Valar Ventures, K5 Global, Highfield Capital, Wilshire Lane Capital, Sand Hill Angels, Gaingels, Ce Innovation Capital, Evolution Vc Partners, 10x Capital, Social Capital, Paypal Ventures, Republic Capital, Alumni Ventures, Red Swan Ventures, Citi Impact Fund, Citi Ventures, Citigroup, Hennessy Capital Group, Ribbit Capital, Metaprop Nyc, Astir Ventures, Khosla Ventures, Calm Ventures, Graph Ventures"
